mnemonic
clts
cpuid
drmsr
hlt
ice
in
ins
int3
into
invd
lfence
lgdt
lidt
lldt
lmsw
ltr
mfence
monitor
mwait
out
outs
pause
rdpmc
rdtsc
rsm
sfence
sgdt
sidt
sldt
smsw
str
sysenter
sysexit
tpause
ud
ud2
umonitor
umwait
verr
verw
wait
wbinvd
wrmsr
