mnemonic
vfmadd213ps
vpdpbusd
vpdpbusds
vpdpwssd
vpdpwssds
tdpbf16ps
tdpbssd
tdpbsud
tdpbusd
tdpbuud
v4fmaddps
v4fmaddss
v4fnmaddps
v4fnmaddss
vp4dpwssd
vp4dpwssds
vcvtne2ps2bf16
vcvtneps2bf16
vdpbf16ps
vfmadd132pd
vfmadd132ps
vfmadd132sd
vfmadd132ss
vfmadd213pd
vfmadd213ps
vfmadd213sd
vfmadd213ss
vfmadd231pd
vfmadd231ps
vfmadd231sd
vfmadd231ss

